time,thermal
0.026872873306274414,45768
2.121609926223755,47142
4.234723806381226,47927
6.317461967468262,48222
8.419440031051636,48663
10.548424005508423,49498
12.62904405593872,49988
14.714055061340332,50430
16.802119970321655,50872
18.881232023239136,51166
20.95979905128479,51559
23.049249172210693,51951
25.143301010131836,52148
27.229197025299072,52442
29.317366123199463,52540
31.407378911972046,52687
33.50151991844177,52933
35.584973096847534,53080
37.66218709945679,53227
39.74738907814026,53276
41.831888914108276,53571
43.93279004096985,53669
46.02708196640015,53767
48.114012002944946,53865
50.21238899230957,54012
52.313332080841064,54160
54.44536995887756,54209
56.52848482131958,54503
58.6176221370697,54503
60.70999503135681,54454
62.79884600639343,54601
64.88635396957397,54749
66.9812400341034,54994
69.07553601264954,55092
71.17717504501343,55288
73.30279302597046,55239
75.40537881851196,55681
77.51635003089905,55681
79.59374189376831,55534
81.68046593666077,55828
83.77237606048584,55583
85.8627860546112,55534
87.94540095329285,55632
90.04130697250366,55632
92.13424706459045,55877
94.2237720489502,55975
96.31527304649353,56074
98.39745903015137,55877
100.48081588745117,55877
102.56830501556396,55730
104.65779900550842,55730
106.74532890319824,55926
108.83045506477356,55975
110.91287302970886,55828
113.01077103614807,56074
115.10504698753357,56123
117.1900589466095,56368
119.27666401863098,56515
121.39016199111938,56957
123.4688458442688,56662
125.55515193939209,56515
127.63723707199097,56613
129.7270200252533,56662
131.81017398834229,56712
133.89581298828125,56662
135.98651909828186,56074
138.09643697738647,55828
140.1941409111023,55485
142.29720091819763,55288
144.41008591651917,54945
146.54025506973267,54798
148.6521120071411,54601
150.77555418014526,54503
152.8920919895172,54405
155.00795912742615,54307
157.10857820510864,54307
159.22508597373962,54160
161.32372784614563,54209
163.41175198554993,54062
165.51716303825378,54012
167.634605884552,54012
169.7291419506073,54012
171.83565282821655,54209
173.94361877441406,54012
176.06560802459717,53865
178.17367720603943,53865
180.2899248600006,53816
182.38764905929565,53865
184.50462794303894,53816
186.6002860069275,54111
188.705885887146,53816
190.8357388973236,53865
192.9548728466034,53865
195.0657081604004,53718
197.18457889556885,53816
199.31017184257507,53767
201.4173231124878,54307
203.51465392112732,53914
205.61138892173767,53914
207.72082591056824,54062
209.8497622013092,53914
211.9798469543457,54062
214.10239791870117,53963
216.22260689735413,53914
218.412034034729,54062
220.51206302642822,53914
222.61882090568542,53963
224.7197461128235,53914
226.8294529914856,54307
228.94153904914856,54062
231.04500579833984,54012
233.16302585601807,54012
235.263081073761,54307
237.3580710887909,54405
239.4616048336029,54650
241.55653882026672,55190
243.64664816856384,55239
245.7744688987732,55092
247.8940658569336,55043
250.03950119018555,54896
252.14026498794556,54896
254.26704382896423,54749
256.3605101108551,54994
258.4636390209198,54601
260.585440158844,54552
262.7094190120697,54552
264.8365840911865,54454
266.97843408584595,54650
269.0828149318695,54405
271.22274684906006,54552
273.3902668952942,54503
275.5186200141907,54405
277.64180397987366,54503
279.75363206863403,54503
281.88322591781616,54503
283.9857039451599,54454
286.10453605651855,54454
288.22348499298096,54552
290.3298900127411,54503
292.43878412246704,54749
294.51921701431274,54945
296.59742188453674,55190
298.69122099876404,55141
300.81525206565857,55337
302.9304909706116,55436
305.05058002471924,55239
307.1900658607483,55141
309.3142931461334,55239
311.4185950756073,55534
313.5246160030365,55190
315.6498599052429,54945
317.748911857605,54896
319.8533048629761,54945
321.96973490715027,55092
324.0778591632843,54896
326.2194769382477,54896
328.3807590007782,54896
330.487911939621,54847
332.6008069515228,54945
334.7227940559387,54847
336.83564019203186,54994
338.93567395210266,54847
341.0634570121765,54798
343.1923100948334,54798
345.3020839691162,54700
347.4158489704132,54847
349.5339379310608,54749
351.63938093185425,54945
353.7544279098511,54798
355.8676118850708,54896
357.96099519729614,55092
360.0506718158722,55288
362.16687202453613,55583
364.2862458229065,55681
366.3829641342163,56172
368.47168588638306,55681
370.5842399597168,55534
372.69392490386963,55485
374.81067180633545,55239
376.9356679916382,55485
379.05752515792847,55288
381.21347999572754,55239
383.3894658088684,55239
385.50871086120605,55141
387.6182951927185,55141
389.73030614852905,55043
391.8414490222931,55239
