time,thermal
0.027168750762939453,46406
2.1026108264923096,47338
10.24826169013977,48958
14.406002759933472,49056
16.530932903289795,49105
18.635148763656616,49252
20.752432823181152,49400
22.862722635269165,49350
24.984404802322388,49400
27.083630800247192,49400
29.203532695770264,49449
31.344043016433716,49498
33.457414865493774,49547
35.583197832107544,49596
37.69461989402771,49596
39.821093797683716,49694
41.943851709365845,49743
44.04241466522217,49792
46.15811085700989,49792
48.27347183227539,49988
50.37625288963318,50087
52.522451877593994,49988
54.630114793777466,49988
56.76321268081665,50038
58.87213969230652,50087
60.98758578300476,50087
63.09464883804321,49988
65.21606397628784,50087
67.3405339717865,50136
69.4690146446228,50185
71.57505583763123,50087
73.68339562416077,50185
75.79504990577698,50283
77.90093183517456,50185
80.00983572006226,50234
82.11810374259949,50381
84.2168197631836,50430
86.33067798614502,50381
88.45445084571838,50479
90.57388281822205,50577
92.69923090934753,50479
94.82435464859009,50577
96.93463492393494,50577
99.04887986183167,50577
101.173006772995,50626
103.29658579826355,50577
105.4056408405304,50725
107.53576278686523,50528
109.63522672653198,50626
111.75760793685913,50675
113.88396859169006,50921
115.9855649471283,50823
118.09046673774719,51117
120.21223878860474,51068
122.33502578735352,51215
124.45398473739624,51068
126.55128383636475,51559
128.6774866580963,51264
130.79932165145874,51166
132.908264875412,51510
135.01130867004395,51363
137.15098190307617,51510
139.25629377365112,51559
141.42008590698242,51559
143.5561966896057,51657
145.70335364341736,51461
147.81056475639343,51853
149.90296983718872,52197
152.01384496688843,52442
154.1191747188568,52638
156.21974563598633,52835
158.34409594535828,52884
160.47724390029907,52737
162.62173676490784,52638
164.75291681289673,52442
166.88746762275696,52589
169.00470280647278,52491
171.12671375274658,52737
173.2200367450714,52933
175.31451177597046,53080
177.41492891311646,53129
179.52257895469666,53178
181.63456988334656,53129
183.74825882911682,52786
185.85630989074707,52687
187.96026968955994,52687
190.0618438720703,52589
192.16709089279175,52884
194.25466394424438,53080
196.34132289886475,53375
198.43482279777527,53669
200.5177357196808,53816
202.61285877227783,53669
204.7154517173767,53571
206.82463264465332,53473
208.92786979675293,53227
211.0265007019043,53276
213.1355299949646,53178
215.24217867851257,53080
217.3554277420044,53129
219.46317267417908,53031
221.5664918422699,53276
223.66350388526917,52933
225.77967476844788,52835
227.8878047466278,52884
229.9942169189453,53031
232.0946056842804,52982
234.23007988929749,52982
236.38625979423523,52884
238.54251074790955,52884
240.64902567863464,52687
242.75973176956177,52933
244.86386466026306,52933
246.97911667823792,52982
249.09261894226074,53031
251.20216274261475,52835
253.31254076957703,52982
255.42463278770447,52982
257.5506467819214,53031
259.6677896976471,53031
261.7718458175659,53031
263.8710079193115,52933
265.9622178077698,52786
268.08882784843445,52884
270.2165997028351,52835
272.34260177612305,52982
274.4561417102814,53031
276.565682888031,53375
278.66514778137207,52982
280.7762858867645,52933
282.8808126449585,52982
285.0078458786011,52982
287.12851786613464,53178
289.2358195781708,53129
291.37801861763,53276
293.5345768928528,53276
295.6382668018341,53227
297.74672269821167,53178
299.8507237434387,53129
301.9540276527405,53424
304.0814018249512,53276
306.19630885124207,53375
308.3010256290436,53522
310.4130787849426,53325
312.5348308086395,53325
314.63697361946106,53276
316.7449827194214,53767
318.8418776988983,54258
320.93074774742126,54356
323.0479576587677,54111
325.1765649318695,54012
327.31337666511536,54062
329.44310092926025,53718
331.54940271377563,54209
333.6438636779785,53865
335.7488498687744,53816
337.84452986717224,53865
339.95379972457886,53865
342.0877015590668,53718
344.1937117576599,53816
346.32675981521606,53718
348.5010759830475,53620
350.624963760376,53669
352.74314880371094,53963
354.86965775489807,53914
356.96894574165344,53963
359.08790397644043,53914
361.2019658088684,53718
363.2990746498108,53767
365.4087359905243,53767
367.5273337364197,53767
369.63014674186707,53767
371.7301576137543,53963
373.82550072669983,54258
375.9222688674927,54454
378.03544187545776,54749
380.145911693573,54749
388.3134069442749,55141
